Date,Open*,High,Low,Close,Volume,Market Cap
13-Jul-17,0.205873,0.230452,0.193357,0.200809,216750000.00 ,-706762240.00 
14-Jul-17,0.200819,0.201156,0.183369,0.190769,97037600.00 ,-900279808.00 
15-Jul-17,0.190976,0.191167,0.167118,0.170589,131779000.00 ,-1277188608.00 
16-Jul-17,0.16948,0.172575,0.11977,0.148056,257944000.00 ,-2100295168.00 
17-Jul-17,0.150146,0.179604,0.141425,0.177889,312684992.00 ,1454348800.00 
18-Jul-17,0.179668,0.195807,0.165966,0.188718,295840992.00 ,-1710195712.00 
19-Jul-17,0.188498,0.188533,0.158188,0.168388,147778000.00 ,-1372097536.00 
20-Jul-17,0.170017,0.192918,0.167718,0.188295,183292000.00 ,-2079742464.00 
21-Jul-17,0.18943,0.190708,0.181098,0.182608,104722000.00 ,-1336406016.00 
22-Jul-17,0.182168,0.195009,0.181447,0.19332,83913800.00 ,-1614475776.00 
23-Jul-17,0.193568,0.204121,0.188722,0.195058,195682000.00 ,-1177957888.00 
24-Jul-17,0.194979,0.195279,0.189835,0.192002,56632800.00 ,-1123910656.00 
25-Jul-17,0.19228,0.192734,0.169797,0.178104,166807008.00 ,-1219392512.00 
26-Jul-17,0.177582,0.180872,0.16906,0.173822,76584600.00 ,-1782819840.00 
27-Jul-17,0.17521,0.176602,0.17198,0.173457,34575100.00 ,-1873744896.00 
28-Jul-17,0.173211,0.174078,0.162183,0.165937,74649800.00 ,-1950232576.00 
29-Jul-17,0.165218,0.171566,0.155475,0.169871,80897000.00 ,2038367744.00 
30-Jul-17,0.169494,0.170411,0.164094,0.165082,40621700.00 ,-2092688896.00 
31-Jul-17,0.16505,0.169535,0.162002,0.167386,57273800.00 ,2031896576.00 
1-Aug-17,0.168024,0.178332,0.166124,0.177053,119957000.00 ,2145895936.00 
2-Aug-17,0.177531,0.179655,0.171618,0.173113,53441400.00 ,-1784631296.00 
3-Aug-17,0.173218,0.175969,0.17173,0.174612,31479000.00 ,-1949968384.00 
4-Aug-17,0.174555,0.176053,0.172224,0.173743,45170000.00 ,-1896812032.00 
5-Aug-17,0.173865,0.187844,0.173267,0.184737,114270000.00 ,-1923293184.00 
6-Aug-17,0.185398,0.189486,0.180298,0.180444,74161600.00 ,-1481074688.00 
7-Aug-17,0.179716,0.181847,0.177605,0.179021,58052100.00 ,-1698918400.00 
8-Aug-17,0.179602,0.194391,0.178487,0.192586,180028000.00 ,-1703311360.00 
9-Aug-17,0.192527,0.192914,0.180629,0.182947,97805400.00 ,-1207718400.00 
